time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_wrapped_mean,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/entropy_loss,train/std,train/loss
909312,658,1380,1.0,1,-1.0,-0.05914792759358534,0.0003,0.03460579,-0.4903225898742676,0.34183523058891296,1.0154033329978773e-05,360,0.2,0.38287353515625,-3.5917087716360885,0.6038494110107422,-0.06152144446969032
933888,636,1467,1.0,1,-1.0,-0.038439395531653035,0.0003,0.025895538,-1.5686886310577393,0.3227055597305298,6.8049691768952885e-06,370,0.2,0.3133463541666667,-3.446307649090886,0.5819233655929565,-0.07170075178146362
958464,670,1428,1.0,1,-1.0,-0.03802366884240958,0.0003,0.02449513,-1.4972152709960938,0.2997357803583145,6.259456298633263e-06,380,0.2,0.3057942708333333,-3.2985104062904913,0.5608835220336914,-0.023064250126481056
983040,687,1429,1.0,1,-1.0,-0.02757318997028051,0.0003,0.02050887,-2.709272623062134,0.2805212153494358,5.963720166531535e-06,390,0.2,0.26348876953125,-3.1673497756322226,0.5419871211051941,-0.0244731642305851
1007616,685,1469,1.0,1,-1.0,-0.029269944968594547,0.0003,0.020415034,-2.2490580081939697,0.25549858510494233,6.051701925735564e-06,400,0.2,0.27515055338541666,-3.0152442023778954,0.5227400064468384,-0.026731077581644058
1032192,665,1550,1.0,1,-1.0,-0.020581940388486448,0.0003,0.018685361,-4.0575666427612305,0.23559215292334557,4.3535244918328315e-06,410,0.2,0.24568684895833334,-2.9060766194636622,0.5079126358032227,-0.0012364342110231519
1056768,636,1660,1.0,1,-1.0,-0.009066467839753992,0.0003,0.016737891,-13.0269775390625,0.214007458537817,4.588218374233325e-06,420,0.2,0.22419026692708333,-2.8176434171696503,0.49692249298095703,-0.04279492422938347
1081344,685,1578,1.0,1,-1.0,-0.005202751731728009,0.0003,0.017599806,-23.44562530517578,0.19405360236763955,2.111923500332698e-06,430,0.2,0.21067708333333332,-2.7795275850221515,0.4940430521965027,0.007182060740888119
1105920,673,1642,1.0,1,-1.0,-0.006337069963046815,0.0003,0.018384283,-22.52370834350586,0.1754397450387478,2.821245130331847e-06,440,0.2,0.22724609375,-2.756564650436242,0.49324020743370056,0.010023295879364014
1130496,646,1747,1.0,1,-1.0,-0.019259075006266356,0.0003,0.025078207,-6.92276668548584,0.15809711024165155,4.676609866834566e-06,450,0.2,0.29835611979166665,-2.7821338650460046,0.49911946058273315,-0.009814143180847168
1155072,635,1817,1.0,1,-1.0,-0.005697842040171963,0.0003,0.015303832,-27.26011085510254,0.14140280857682228,3.16468179086075e-06,460,0.2,0.201123046875,-2.80473042956243,0.5018071532249451,0.013911898247897625
1179648,646,1824,1.0,1,-1.0,-0.024218658054451225,0.0003,0.038978364,-6.3769707679748535,0.1268661840260029,4.682684560053385e-06,470,0.2,0.33720296223958335,-2.8506042869761585,0.5101151466369629,-0.029022639617323875
1204224,642,1873,1.0,1,-1.0,-0.02299470876975344,0.0003,0.028479218,-7.73057746887207,0.11460954383015633,9.342159919145664e-06,480,0.2,0.318994140625,-2.8902152522777516,0.5146002769470215,-0.015863077715039253
1228800,652,1882,1.0,1,-1.0,-0.0439927023358905,0.0003,0.047306836,-2.3757355213165283,0.10442214876413346,5.241004334995599e-06,490,0.2,0.43550211588541665,-2.947363450502356,0.524653434753418,-0.05520288273692131
1253376,644,1945,1.0,1,-1.0,-0.05481077052730446,0.0003,0.0516026,-1.640448808670044,0.0953677175194025,5.136162493846186e-06,500,0.2,0.47054443359375,-3.007863266207278,0.5334926247596741,-0.061594363301992416
1277952,639,1998,1.0,1,-1.0,-0.04462897570071315,0.0003,0.04653501,-2.8118791580200195,0.08883452624082565,7.102976286965657e-06,510,0.2,0.42841796875,-3.065930400416255,0.542952299118042,-0.03710006922483444
1302528,649,2006,1.0,1,-1.0,-0.05417697593293269,0.0003,0.060529698,-1.9606609344482422,0.08323940746486187,4.014967156525569e-06,520,0.2,0.46234537760416666,-3.1044075320164364,0.5482081174850464,-0.029846733435988426
