rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,rollout/ep_rew_wrapped_mean,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/approx_kl
15.57,-15.57,7421952,65,113116,1,0.0621231347322464,0.034592012829792414,0.9990509759518318,0.2,3.65231057399263,-664.2957093179226,0.0003,0.0012889046620178609,0.09981992840766907,0.5734415690104167,3010,0.27183166
15.58,-15.58,7446528,65,114366,1,0.04391377419233322,0.03262969331444765,0.9990428836317733,0.2,3.6694984257221224,-666.1690507912635,0.0003,0.0012819146285437456,0.09970429539680481,0.55992431640625,3020,0.100343086
15.62,-15.62,7471104,66,112433,1,0.04931434616446495,0.03429163395351983,0.9991339852567762,0.2,3.671773993782699,-659.5159832453728,0.0003,0.0011473513547836471,0.09955908358097076,0.5627482096354167,3030,0.14773437
15.79,-15.79,7495680,65,114860,1,0.015792543068528175,0.03543659716427404,0.9985889995004982,0.2,3.6950161663194496,-668.5852990627288,0.0003,0.0018283136539745707,0.09868563711643219,0.5987345377604166,3040,0.78966206
15.71,-15.71,7520256,65,114975,1,0.013830311596393585,0.03713351217593299,0.9967547981068492,0.2,3.6898798696696757,-672.4816583919525,0.0003,0.003684777519538329,0.09930909425020218,0.5222127278645833,3050,0.08417714
15.63,-15.63,7544832,65,114700,1,0.22913870215415955,0.030214825734704694,0.9978845987934619,0.2,3.6939435915400582,-665.1620199918747,0.0003,0.0028669540194186994,0.09900043904781342,0.5383870442708333,3060,0.098333776
15.57,-15.57,7569408,65,115083,1,0.0010155917843803763,0.031517360739841634,0.9984947469783947,0.2,3.7027265122160316,-669.6702573096752,0.0003,0.001984558035792361,0.09889766573905945,0.5602498372395833,3070,0.10316119
15.61,-15.61,7593984,65,115294,1,0.04393622279167175,0.03622243669354551,0.9989535142667592,0.2,3.7184747788434227,-661.6260085129738,0.0003,0.0013386815299478863,0.09821433573961258,0.5737589518229167,3080,0.7143832
15.55,-15.55,7618560,65,116196,1,0.012177085503935814,0.03274761107095401,0.9991865298943594,0.2,3.7459555199369787,-669.2994887900353,0.0003,0.0010774127696815108,0.0976666808128357,0.5538899739583333,3090,0.09752535
15.63,-15.63,7643136,65,116919,1,0.08641483634710312,0.03524230237853772,0.9990782423992641,0.2,3.771332137224575,-660.4534699106216,0.0003,0.0012332337999168886,0.09702511131763458,0.5701741536458333,3100,0.19434972
15.59,-15.59,7667712,66,116015,1,0.006461287848651409,0.040581649154410114,0.9986744544003159,0.2,3.7723715866605443,-671.9553418701887,0.0003,0.0015325589215080982,0.09716746211051941,0.5660725911458333,3110,0.37917462
15.6,-15.6,7692288,65,117117,1,0.032735954970121384,0.03685536140631787,0.9987384612904862,0.2,3.815719426982105,-669.6465939044953,0.0003,0.0012848068141389983,0.09593887627124786,0.6116943359375,3120,1.8178244
15.57,-15.57,7716864,66,116714,1,-0.0024538899306207895,0.011935782405513844,0.998761577764526,0.2,3.889033838051061,-675.530652513206,0.0003,0.0009436187791000823,0.09419180452823639,0.6110677083333333,3130,2.3003387
