bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
61,0.02464122511446476,233670942484.76526,14501,0.0,-26.128718037380427,4860.3544921875,462995,-24.641223907470703,-26.15335926249489
63,0.024642042815685272,83675409778.50272,15001,0.0,-24.854146304629744,4860.02197265625,478961,-24.64204216003418,-24.87878834744543
65,0.02463749796152115,2.1920116277158902e-09,15501,0.0,32.80996621736905,4859.380859375,494927,-24.637496948242188,32.78532871940753
68,0.024614660069346428,171868001494.66455,16001,0.0,-21.002112470209887,4859.96630859375,510876,-24.61465835571289,-21.026727130279234
70,0.024596158415079117,136547216960.12259,16501,0.0,-17.955796159843132,4859.94775390625,526842,-24.59615707397461,-17.98039231825821
72,0.02459203265607357,4571589621.563395,17001,0.0,-22.165068629560295,4859.85546875,542808,-24.592031478881836,-22.18966066221637
74,0.02455146610736847,194560414730.01263,17501,0.0,-25.943749441927622,4857.35302734375,558774,-24.551464080810547,-25.96830090803499
76,0.024562666192650795,206588670967.67474,18001,0.0,-25.992478896781527,4856.90673828125,574740,-24.562665939331055,-26.01704156297418
78,0.02454676851630211,205314970241.89752,18501,0.0,-25.974960819244775,4856.25341796875,590706,-24.546768188476562,-25.999507587761077
80,0.024546124041080475,57785563372.79064,19001,0.0,-24.699836055247356,4856.75537109375,606672,-24.546123504638672,-24.724382179288437
82,0.02446938119828701,50269446936.77555,19501,0.0,-24.57312245647684,4856.71923828125,622638,-24.469379425048828,-24.597591837675125
85,0.024498820304870605,177141648146.1005,20001,0.0,-25.804569098007843,4857.0029296875,638587,-24.49881935119629,-25.829067918312713
87,0.024527840316295624,166128146258.57367,20501,0.0,-25.76860247680202,4857.34033203125,654553,-24.52783966064453,-25.793130317118315
89,0.024526363238692284,81174099741.38168,21001,0.0,-25.06189719815346,4857.59375,670519,-24.5263614654541,-25.086423561392152
91,0.024559471756219864,60177253786.59504,21501,0.0,-24.60608129188659,4857.84130859375,686485,-24.559471130371094,-24.63064076364281
93,0.02457752265036106,152272640107.0616,22001,0.0,-25.64895038175075,4861.64501953125,702451,-24.57752227783203,-25.673527904401112
95,0.024187196046113968,8.910520061119514e-20,22501,0.0,376.1214193758734,4863.01953125,718417,-24.18719482421875,376.0972321798273
97,0.024215510115027428,159195990262.69034,23001,0.0,-25.71716258176979,4864.0439453125,734383,-24.21550941467285,-25.74137809188482
