bc/epoch_num,bc/l2_loss,bc/loss,bc/batch_num,bc/prob_true_act,bc/entropy,bc/samples_so_far,bc/neglogp,bc/l2_norm,bc/ent_loss
233,0.0,-5.258935268995474,10501,490.8739742539223,-5.032713413238525,335799,-5.263967982520471,74.50901794433594,0.005032713524997234
244,0.0,-4.572248509600036,11001,344.373977576539,-5.0352783203125,351788,-4.577283787987404,74.7616195678711,0.005035278387367725
255,0.0,-4.990515357948035,11501,374.06893925814074,-5.012164115905762,367777,-4.995527522306085,74.72124481201172,0.005012164358049631
266,0.0,-5.716827469531664,12001,506.58357577396055,-5.212861061096191,383766,-5.722040330644914,75.41783905029297,0.005212861113250256
277,0.0,-4.778092527333534,12501,434.3602446100753,-5.240085601806641,399755,-4.783332613333947,75.52962493896484,0.0052400860004127026
288,0.0,-5.568632854780185,13001,562.5405689965817,-5.297528266906738,415744,-5.5739303833600164,75.7966079711914,0.005297528579831123
300,0.0,-5.530317073329353,13501,565.0379765225998,-5.307008743286133,431732,-5.535624082307333,76.0058822631836,0.005307008977979422
311,0.0,-5.64070318171123,14001,703.5171940814571,-5.52994441986084,447721,-5.64623312649617,76.91896057128906,0.005529944784939289
322,0.0,-6.3598113425164104,14501,1133.0578422462736,-5.715665340423584,463710,-6.365527007923889,77.67657470703125,0.005715665407478809
333,0.0,-5.61745846119627,15001,700.2795474935455,-5.750190734863281,479699,-5.623208652128573,77.83758544921875,0.005750190932303667
344,0.0,-5.83037021127074,15501,898.9654690680272,-5.777468681335449,495688,-5.836147680175593,77.99028778076172,0.005777468904852867
355,0.0,-5.865227811670266,16001,805.2434093795969,-5.7963337898254395,511677,-5.871024145910852,78.09420776367188,0.005796334240585566
366,0.0,-5.536116254000091,16501,673.9308862743014,-5.798340797424316,527666,-5.541914595240825,78.18628692626953,0.005798341240733862
377,0.0,-5.401409914411562,17001,697.9739023171967,-5.790579795837402,543655,-5.40720049447562,78.2554931640625,0.005790580064058304
388,0.0,-6.038614161537442,17501,853.201249771222,-5.751867771148682,559644,-6.044366029781703,78.2308120727539,0.0057518682442605495
400,0.0,-6.145351626712151,18001,878.8784717681901,-5.7276692390441895,575632,-6.151079296401956,78.19062042236328,0.005727669689804316
411,0.0,-4.9671521737007325,18501,542.0021953050295,-5.711658477783203,591621,-4.972863832558495,78.26126098632812,0.005711658857762814
422,0.0,-6.602475463525317,19001,1202.9918750141765,-5.821378707885742,607610,-6.608296842426918,78.6307373046875,0.005821378901600838
433,0.0,-5.492261808539869,19501,657.4964575536767,-5.779775619506836,623599,-5.498041584330739,78.66459655761719,0.00577977579087019
444,0.0,-5.850209819722542,20001,724.7817602018978,-5.797080993652344,639588,-5.856006900883832,78.85285186767578,0.005797081161290407
455,0.0,-5.995630417131064,20501,845.0842958626923,-5.792891502380371,655577,-6.001423308737753,78.89588928222656,0.0057928916066884995
466,0.0,-5.6353693716520095,21001,911.3100127223317,-5.779106140136719,671566,-5.64114847828761,78.9332504272461,0.0057791066356003284
477,0.0,-6.055359487362661,21501,1005.788418157525,-5.798680305480957,687555,-6.061158168070473,79.07323455810547,0.005798680707812309
488,0.0,-5.2897319151771285,22001,601.0285264127153,-5.800124168395996,703544,-5.2955320394349314,79.09013366699219,0.005800124257802963
500,0.0,-6.068401577288431,22501,924.7436319876512,-5.795060157775879,719532,-6.074196637945396,79.09420776367188,0.005795060656964779
511,0.0,-5.219795324715671,23001,817.9069715601998,-5.787921905517578,735521,-5.225583246785101,79.1661376953125,0.005787922069430351
522,0.0,-5.204283962503029,23501,828.5472865930413,-5.499819755554199,751510,-5.209783782727969,78.1231689453125,0.005499820224940777
