bc/prob_true_act,bc/neglogp,bc/epoch_num,bc/l2_loss,bc/loss,bc/batch_num,bc/l2_norm,bc/entropy,bc/samples_so_far,bc/ent_loss
131.8101139497579,-4.3212878451418,84,0.0,-4.316722748681517,18501,137.6590118408203,-4.565096378326416,589932,0.004565096460282803
165.63432779857214,-5.0202528402043445,86,0.0,-5.015694267193036,19001,137.85452270507812,-4.558572769165039,605882,0.0045585730113089085
133.38952505872538,-4.781825289563456,88,0.0,-4.777259845254192,19501,139.25363159179688,-4.565443992614746,621832,0.0045654443092644215
146.35795262558776,-4.9122838495076335,90,0.0,-4.9077239051238335,20001,142.21180725097656,-4.559944152832031,637782,0.00455994438380003
133.63358149766503,-3.899390028231246,93,0.0,-3.8948248088363835,20501,144.95571899414062,-4.565219402313232,653707,0.004565219394862652
126.07459777179714,-4.632833269350392,95,0.0,-4.628267717473371,21001,147.06820678710938,-4.5655517578125,669657,0.0045655518770217896
132.65349371640878,-4.7823062335155235,97,0.0,-4.777740161494844,21501,150.24197387695312,-4.5660719871521,685607,0.004566072020679712
134.96203503978842,-4.322418879609467,0,0.0,-4.317852168701501,1,151.93222045898438,-4.566710472106934,32,0.0045667109079658985
127.6426340045869,-4.8236762956239865,2,0.0,-4.819102332972793,501,153.46231079101562,-4.573962211608887,15982,0.004573962651193142
123.01442833560971,-2.7198775841075857,4,0.0,-2.715314428057887,1001,154.83547973632812,-4.563155651092529,31932,0.004563156049698591
143.1050334826915,-4.6817992791956815,6,0.0,-4.677244582814589,1501,158.22848510742188,-4.554696083068848,47882,0.0045546963810920715
