raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,198452,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198453,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198453,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198454,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198454,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198455,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198455,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198456,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198456,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198457,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198457,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198458,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198458,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198459,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198459,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198460,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198460,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198461,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198461,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198462,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198462,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198463,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198463,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198464,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198464,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198465,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198465,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198466,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198466,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198467,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198467,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198468,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198468,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198469,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198469,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198470,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198470,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198471,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198471,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198472,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198472,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198473,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198473,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198474,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198474,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198475,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198475,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198476,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198476,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198477,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198477,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198478,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198478,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198479,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198479,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198480,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198480,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198481,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198481,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198482,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198482,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198483,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198483,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198484,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198484,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198485,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198485,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198486,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198486,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198487,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198487,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198488,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198488,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198489,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198489,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198490,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
